Ру,Ном,Яп
девчонка,3,ギャル
скоро,3,すぐに
некоторый,3,いくつか
светлый,3,光
здоровый,3,健康
однажды,3,一度
узнать,3,学ぶ
особенный,3,スペシャル
рожа,3,丹毒
карман,3,ポケット
золотошвейка,3,金の裁縫師
устоять,3,レジスト
спорый,3,物議を醸す
отношение,3,関係
относиться,3,参照
подняться,3,ウォームアップ
работать,3,仕事
чувствовать,3,感じる
ах,3,ああ
божок,3,神よ
ждать,3,待って！
спокойно,3,落ち着いて
лужа,3,水たまり
снег,3,雪
дождь,3,雨
окружить,3,サラウンド
месить,2,こねる
мучной,2,フライ
пыль,2,塵
дать,2,与える
кусок,2,ピース
хлеб,2,パン
нищий,2,乞食
тем,2,さらに
называть,2,名前
жулик,2,ローグ
обед,2,ランチ
тесно,2,密接に
потолок,2,天井
пятно,2,スポット
пять,2,5
рассучивать,2,関連付けるには
грустно,2,悲しげに
мурлыкать,2,ゴロゴロ
вод,2,ウォーターズ
котёл,2,ボイラー
шаркать,2,シャッフル
сбрасывать,2,ダンプ
отблеск,2,グロー
пламя,2,炎
трепетать,2,震える
безмолвно,2,mutely
уродливый,2,醜い
голова,2,頭
полый,2,中空
яркий,2,明るい
дышать,2,呼吸
чёрный,2,黒
впадина,2,中空
холодное,2,冷たい
духота,2,詰まり
привыкнуть,2,慣らす
ругаться,2,誓う
чувство,2,感じ
тяжесть,2,重力
труд,2,労働
страшно,2,ひどく
лишь,2,しかし
просто,2,ちょうど
так:,2,だから:
земля,2,土地
певец,2,歌手
тоскливый,2,ドライアリー
становиться,2,なる
биться,2,ビート
снова,2,また！
»,2,»
звук,2,音
представляться,2,見える
этаж,2,床
плечо,2,肩
нечто,2,何か
любимый,2,お気に入り
помещаться,2,フィット
многий,2,多くの
розовый,2,ピンク
голубой,2,青
ласковый,2,入札
кричать,2,泣く
оборачиваться,2,振り向く
радостно,2,喜んで
добродушно,2,genially
белые,2,白
зуб,2,歯
блестеть,2,輝き
открытый,2,オープン
улыбка,2,はい、チーズ。
толкать,2,プッシュ
милый,2,いいね
немного,2,少し
через,2,を通して
грязный,2,汚い
поднять,2,上昇
утром,2,朝
разговор,2,会話
мягкий,2,柔らかい
шутка,2,ジョーク
лёгкий,2,簡単に
ловко,2,巧みに
вчера,2,昨日
вокруг,2,周り
порой,2,時折
грубо,2,おおよそ
бесстыдный,2,恥知らず
позволять,2,許可する
оставаться,2,残る
падать,2,秋
исчезнуть,2,消える
всё-таки,2,それでも
обращать,2,支払う
внимание,2,注意
почти,2,もうちょっと。
священный,2,神聖
много,2,多くの
совет,2,推薦
одеваться,2,ドレス
носить,2,摩耗
отвечать,2,ともかく
смех,2,笑い
обращаться,2,住所
просить,2,質問する
радость,2,喜び
попросить,2,質問する
единственный,2,のみ
рубаха,2,シャツ
презрительно,2,軽蔑的に
сказала:,2,言った:
ближний,2,近く
любим,2,愛
ведь,2,やっぱり
утверждать,2,クレーム
пренебрежительно,2,軽蔑的に
встречать,2,会う
тоже,2,あまりにも
булка,2,ローフ
жёлтый,2,アンバー
сапог,2,ブート
гулять,2,歩く
городской,2,市
сад,2,庭
ли,2,かどうか
жилетка,2,ベスト
цепочка,2,チェーン
любопытно,2,不思議なことに
посмотреть,2,見て！
воздух,2,空気
стоялый,2,立つ
крупный,2,大
цвета,2,色
сиять,2,輝き
белый,2,白
почтительно,2,丁重に
сделать,2,作る
можно,2,可能
шевелить,2,かき混ぜる
ус,2,ウィスカー
рассматривать,2,考慮する
тут,2,ここに
засмеяться,2,笑う
пользоваться,2,使用
опять,2,その後、再び
хотеться,2,欲しい
сказав:,2,言ったこと:
уверенно,2,確かに
молвить,2,言ってくれ
вид,2,ビュー
значит,2,つまり
аккуратно,2,きちんと
рукав,2,袖
голый,2,裸
блестящий,2,すごいじゃん。
шерсть,2,ウール
одетый,2,服を着て
вещий,2,oracular
лезть,2,登る
рассказывать,2,伝えてくれ
разговаривать,2,トーク
обидный,2,攻撃
дорога,2,道路
между,2,間
слышать,2,聞く
однако,2,しかし
забыть,2,忘れろ
шумный,2,うるさい
девочка,2,女の子
месяц,2,月
победа,2,勝利
уса,2,ウィスカーの
смачно,2,レリッシュ付き
приходить,2,来い！
усесться,2,パーチ
половина,2,半分
умора,2,悲鳴を上げる
искренне,2,本当に
счастливый,2,ハッピー
сказал:,2,言った:
сосна,2,松
шум,2,ノイズ
казаться,2,見える
являться,2,あります
болезнь,2,病気
несчастный,2,悲惨な
тогда,2,じゃあ
бывать,2,あります
повернуться,2,顔
тьфу,2,フィー
срок,2,任期
неделя,2,週
танька,2,ターニャ
любопытство,2,好奇心
напряжённо,2,緊張して
спор,2,紛争
играть,2,遊ぶ
игра,2,ゲーム
войти,2,入力
прежний,2,前
новое,2,新しい
сегодня,2,現在
глядеть,2,見て！
кренделёк,2,プレッツェル
умный,2,スマート
понять,2,理解する
гордо,2,誇らしげに
щель,2,スロット
пройти,2,パス
туда,2,あちらの方へ
засунуть,2,突き刺す
медленно,2,ゆっくり
бить,2,ビート
пошлый,2,下品な
﻿максим,1,マクシム
горький,1,苦い
поэма,1,詩
машина,1,機械
запереть,1,ロック
сыр,1,チーズ
сушка,1,乾燥
упираться,1,アバット
вырыть,1,掘る
выложить,1,レイアウト
зелёный,1,緑
сырости;,1,湿気
рама,1,フレーム
заградить,1,妨げる
снаружи,1,アウト
частый,1,頻繁に
железный,1,鉄
сетка,1,グリッド
свет,1,光
пробиться,1,道を作る
сквозь,1,を通して
забить,1,スコア
железо,1,鉄
живить,1,ライブ
голодать,1,速い
вместо,1,代わりに
мясо,1,肉
тухлый,1,腐った
требушина,1,トレベシナ
душный,1,詰まり
коробка,1,ボックス
низкий,1,低い
копоть,1,すす
паутина,1,ウェブ
тошный,1,吐き気
стен,1,壁
разрисовать,1,razrisovat
плесень,1,型
вставать,1,立場
успеть,1,キャッチ
выспаться,1,睡眠
равнодушный,1,無関心
садиться,1,セット
приготовить,1,修正
спасть,1,スパスト
десять,1,十
упругий,1,弾性
покачиваться,1,小刻みに
чтоб,1,だから
одеревенеть,1,ステフェン
вода,1,水
задумчиво,1,思慮深く
кипеть,1,沸騰
вариться,1,クック
зло,1,悪
скользкий,1,滑りやすい
варёный,1,調理済み
горячий,1,ホット
гореть,1,燃える
красный,1,赤
огромный,1,巨大な
похожий,1,類似
сказочный,1,素晴らしい
чудовище,1,モンスター
высунуться,1,リーン
пасть,1,秋
полный,1,フル
жар,1,熱
бесконечный,1,無限
отдушина,1,コンセント
глубокий,1,深い
безжалостный,1,冷酷
бесстрастный,1,インパッシブ
око,1,目
чудовища:,1,モンスター:
одинаково,1,同じように
устать,1,疲れた
ожидать,1,期待する
человеческий,1,人間
презирать,1,軽蔑する
презрение,1,軽蔑
мудрость,1,知恵
натаскать,1,コーチ
пахучий,1,臭い
смачивать,1,湿らせる
ненавидеть,1,憎しみ
предпочитать,1,好む
продолжение,1,継続
механически,1,機械的に
двигать,1,移動
палец,1,指
следить,1,見て
движение,1,動き
присмотреться,1,注意深く見てください
морщина,1,しわ
обругать,1,スラング
особенно,1,特に
редко,1,まれに
виновный,1,有罪
полумёртвый,1,ハーフデッド
истукан,1,グレーヴンイメージ
подавить,1,抑える
нечего,1,何もない
говорить;,1,言ってくれ
легко,1,それは簡単です
начинаться,1,開始
вздыхать,1,ため息
вздох,1,ため息
усталый,1,疲れた
лошадь,1,馬
запевать,1,intone
тихонько,1,そっと
протяжный,1,プランジェント
жалобно-ласковый,1,はっきりと愛情
мотив,1,動機
облегчать,1,促進する
сначала,1,最初に
одинокий,1,寂しい
гаснуть,1,離れて死ぬ
глохнуть,1,ストール
костра,1,火の
степь,1,草原
осенний,1,秋
ночью,1,夜の間に
висеть,1,ハング
свинцовый,1,鉛
приставать,1,モレスト
плавать,1,泳ぐ
тесный,1,閉じる
несколько,1,いくつか
подхватить,1,キャッチ
вскипать,1,ポップル
раздвигать,1,離れて移動
тюрьма,1,刑務所
шесть;,1,六
давно,1,ずっと前に
спеться,1,歌うために
наполнять,1,塗りつぶし
мастерскую;,1,研修会
ней:,1,彼女:
камень,1,石
стонать,1,モアン
плакать,1,泣く
оживлять,1,復活
сердце,1,心
тихий,1,静かに！
щекотать,1,くすぐる
бередить,1,チャーフ
старое,1,古い
рана,1,傷
будить,1,起きて
глубоко,1,深く
тяжко,1,痛い
вздыхают;,1,ため息
неожиданно,1,これは予想外です
оборвать,1,ブレークオフ
вливать,1,注ぐ
общий,1,将軍
крикнув:,1,叫んだ:
«эх,1,"""えっ"
закрыть,1,黙れ
куда-то,1,どこか
вдаль,1,距離に
осветить,1,照らす
дрожать,1,震える
выпевать,1,飲む
чужое,1,外国人
горе,1,悲しみ
лишить,1,ストリップ
так-то,1,そうね..
три,1,トリオ
построить,1,ビルド
заменять,1,置換
